prod_id,prodName,cat,brand,model,sku,barcode,price,discount,stock,warehouse,region,releaseDt,expiryDt,weight,dimensions,color,material,origin,imported,certified,eco,featured,created_on,updated_on,desc,notes,ratings,review_count,supplier_id,supplier_name,supplier_contact,warranty,return_policy,ship_type,storage,fragile,flammable,perishable,restricted,age_limit,license
5001,Widget Z,Electronics,BrandC,ModelZ,SKU301,BC301,40.00,20.00,300,WH-AS,Asia,2024-05-01,2026-05-01,2.0kg,"15x7x5cm",Black,Plastic,China,FALSE,TRUE,FALSE,TRUE,2024-05-01,2025-08-01,"Advanced widget","Top seller",4.7,200,6001,SupplierC,86-333333,24 months,60 days,Express,Room,FALSE,FALSE,FALSE,FALSE,25,FALSE
5002,Gadget Z,Home,BrandD,ModelD,SKU302,BC302,35.00,0.00,120,WH-IN,Asia,2024-06-01,2026-06-01,1.3kg,"10x6x4cm",White,Metal,India,TRUE,FALSE,TRUE,FALSE,2024-06-01,2025-08-01,"Sturdy gadget","Best value",4.1,90,6002,SupplierD,91-444444,30 months,25 days,Standard,Cold,TRUE,FALSE,FALSE,FALSE,0,FALSE
5003,Tool AA,Tools,BrandE,ModelE,SKU303,BC303,50.00,15.00,180,WH-VN,Asia,2024-07-01,2026-07-01,2.5kg,"18x10x7cm",Silver,Steel,Vietnam,FALSE,TRUE,FALSE,TRUE,2024-07-01,2025-08-01,"Professional tool","Durable",4.8,220,6003,SupplierE,84-555555,36 months,45 days,Express,Room,FALSE,FALSE,FALSE,TRUE,23,TRUE
5004,Device BB,Electronics,BrandF,ModelF,SKU304,BC304,45.00,0.00,90,WH-CN,Asia,2024-08-01,2026-08-01,1.4kg,"13x7x4cm",Gold,Aluminum,China,TRUE,TRUE,TRUE,FALSE,2024-08-01,2025-08-01,"Smart device","Latest tech",4.4,160,6004,SupplierF,86-666666,18 months,30 days,Standard,Room,TRUE,FALSE,FALSE,FALSE,20,FALSE
5005,Item CC,Home,BrandG,ModelG,SKU305,BC305,38.00,10.00,140,WH-IN,Asia,2024-09-01,2026-09-01,1.1kg,"11x6x4cm",Brown,Ceramic,India,FALSE,FALSE,TRUE,TRUE,2024-09-01,2025-08-01,"Household item","Multi-purpose",4.0,110,6005,SupplierG,91-777777,12 months,20 days,Express,Cool,TRUE,FALSE,FALSE,FALSE,0,FALSE
5006,Product DD,Sports,BrandH,ModelH,SKU306,BC306,55.00,0.00,160,WH-JP,Asia,2024-10-01,2026-10-01,0.8kg,"9x5x3cm",Blue,Rubber,Japan,TRUE,TRUE,FALSE,FALSE,2024-10-01,2025-08-01,"Sports equipment","High quality",4.6,130,6006,SupplierH,81-888888,6 months,10 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,16,FALSE
5007,Component EE,Electronics,BrandI,ModelI,SKU307,BC307,30.00,20.00,280,WH-KR,Asia,2024-11-01,2026-11-01,0.5kg,"6x4x2cm",Green,Silicon,South Korea,FALSE,TRUE,TRUE,TRUE,2024-11-01,2025-08-01,"Electronic component","Precision made",4.7,190,6007,SupplierI,82-999999,24 months,30 days,Express,Room,TRUE,FALSE,FALSE,FALSE,0,FALSE
5008,Accessory FF,Fashion,BrandJ,ModelJ,SKU308,BC308,42.00,0.00,100,WH-VN,Asia,2024-12-01,2026-12-01,0.4kg,"5x4x2cm",Red,Leather,Vietnam,TRUE,FALSE,FALSE,FALSE,2024-12-01,2025-08-01,"Fashion accessory","Stylish",3.9,80,6008,SupplierJ,84-111111,9 months,15 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
5009,Machine GG,Industrial,BrandK,ModelK,SKU309,BC309,33.00,15.00,70,WH-IN,Asia,2025-01-01,2027-01-01,6.2kg,"22x16x12cm",Yellow,Iron,India,FALSE,TRUE,FALSE,TRUE,2025-01-01,2025-08-01,"Industrial machine","Heavy duty",4.9,120,6009,SupplierK,91-222222,48 months,90 days,Freight,Room,FALSE,FALSE,FALSE,TRUE,28,TRUE
5010,Appliance HH,Home,BrandL,ModelL,SKU310,BC310,48.00,0.00,85,WH-JP,Asia,2025-02-01,2027-02-01,3.5kg,"20x13x9cm",Purple,Stainless,Japan,TRUE,TRUE,TRUE,FALSE,2025-02-01,2025-08-01,"Home appliance","Energy efficient",4.2,150,6010,SupplierL,81-333333,21 months,40 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
